song	artist	popularity	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	id	duration_ms	time_signature
Believe	Mumford & Sons	0	0.331	0.68	2	-5.964	1	0.0454	0.031	0.0177	0.215	0.357	114.909	2DVUJ7LTIOEQqjfOZXs8iU	221039	4
Die Young - Deconstructed Mix	Kesha	26	0.583	0.369	11	-7.388	0	0.0369	0.534	3.9e-06	0.151	0.264	117.28	36ZozCXSEcvsudnUNxeVsx	201507	4
Absolutely (Story of a Girl) - Radio Mix	Nine Days	65	0.481	0.94	7	-5.204	1	0.066	0.000891	0	0.0939	0.66	96.493	3mNecsYFb6LQg7822DPXCP	189333	4
Galaxies	Owl City	38	0.65	0.975	1	-4.85	1	0.0412	0.0258	1.44e-05	0.0797	0.906	119.989	4jKa7EZaP8UaEBp2ijfzk6	243200	4
Treasure	Bruno Mars	44	0.874	0.687	5	-5.253	0	0.0426	0.034	7.59e-05	0.324	0.92	116.054	4G2Hbfwvn3oH7LxxPXjjGn	178560	4
Super Bass	The Downtown Fiction	0	0.641	0.921	1	-4.265	0	0.0324	0.04	0.000826	0.234	0.452	118.084	3r6nCfvZCE5dPcBVVqEejK	217707	4
Sledgehammer	Fifth Harmony	32	0.671	0.777	2	-4.322	1	0.046	0.0057	0.0011	0.0783	0.289	99.98	7uoulrMQgFZFAIEpRPvewL	230907	4
Everybody Talks	Neon Trees	78	0.471	0.924	8	-3.906	1	0.0586	0.00301	0	0.313	0.725	154.961	2iUmqdfGZcHIhS3b9E9EWq	177280	4
Everybody Talks	Neon Trees	78	0.471	0.924	8	-3.906	1	0.0586	0.00301	0	0.313	0.725	154.961	2iUmqdfGZcHIhS3b9E9EWq	177280	4
1983	Neon Trees	50	0.463	0.981	10	-3.922	1	0.18	7.37e-05	0	0.102	0.703	153.048	4DJLcyfnyEGlUejAEAX4az	222560	4
Avalanche	WALK THE MOON	50	0.594	0.858	9	-4.339	1	0.0387	0.00059	3.11e-06	0.0642	0.663	138.021	3JxaZPq4UjkOaxnpyMUtAC	218720	4
Work This Body	WALK THE MOON	58	0.421	0.831	4	-5.128	1	0.106	0.0283	0	0.464	0.488	134.184	76EeScTnI2sCjDY0SfEoSb	175907	4
Anna Sun	WALK THE MOON	62	0.472	0.844	10	-6.578	1	0.054	0.00173	0	0.24	0.34	140.034	3e0yTP5trHBBVvV32jwXqF	321280	4
Something Good Can Work	Two Door Cinema Club	0	0.65	0.833	0	-5.079	1	0.0355	0.00559	0.000727	0.186	0.68	119.939	1aGvLFHJ2shKqO9uycaUcW	164187	4
Cardiac Arrest	Bad Suns	59	0.616	0.88	1	-3.59	1	0.042	0.0521	0.000717	0.0539	0.751	94.011	6zQyu8L8yUuJkl6LbQ6iKU	182518	4
Human	The Killers	0	0.547	0.837	10	-7.085	1	0.0676	0.00112	0.000624	0.0937	0.568	135.47	5mhUPDWQH3s544WCsa0r9w	245360	4
Something Better	Audien	48	0.549	0.835	2	-2.632	1	0.0656	0.0692	0	0.212	0.423	126.08	33lXq3csEWwYNn6x0sM3Et	212619	4
I Believe in a Thing Called Love	The Darkness	67	0.442	0.846	4	-5.214	1	0.0764	0.0538	4.71e-06	0.282	0.622	128.235	756CJtQRFSxEx9jV4P9hpA	217653	4
And We Danced	The Hooters	59	0.561	0.945	9	-6.086	1	0.0444	0.0869	0	0.22	0.723	145.781	5xkNd7kCRmjT2DxSAYVVyC	227760	4
Twist And Shout - Remastered	The Beatles	0	0.482	0.849	2	-9.198	1	0.0452	0.641	7.74e-06	0.0414	0.937	124.631	4Z1fbYp0HuxLBje4MOZcSD	155227	4
